Year,WeekOfYear,ToolSerialNumber,ParameterSetId,MondayRatio,MondayNumberOfOkScrewings,MondayNumberOfNokScrewings,TuesdayRatio,TuesdayNumberOfOkScrewings,TuesdayNumberOfNokScrewings,WednesdayRatio,WednesdayNumberOfOkScrewings,WednesdayNumberOfNokScrewings,ThursdayRatio,ThursdayNumberOfOkScrewings,ThursdayNumberOfNokScrewings,FridayRatio,FridayNumberOfOkScrewings,FridayNumberOfNokScrewings,SaturdayRatio,SaturdayNumberOfOkScrewings,SaturdayNumberOfNokScrewings,SundayRatio,SundayNumberOfOkScrewings,SundayNumberOfNokScrewings,NumberOfWeeklyOkScrewings,NumberOfWeeklyNokScrewings,WeeklyOkNokRatio
2022,31,"F3660289      ",37,0.04601227,326,15,0.12903225,310,40,0.05919003,321,19,0.12371134,291,36,0.06993007,286,20,0.0513834,253,13,0,0,0,1787,143,0.08002239
2022,31,"F3660289      ",100,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0.6666667
2022,32,"B5582642      ",3,0.049618322,1048,52,0.03868472,1034,40,0.040117417,1022,41,0.046666667,1050,49,0.028462999,1054,30,0.029693486,1044,31,0,0,0,6252,243,0.038867563
2022,32,"F3660289      ",14,0.01660281,783,13,0.016795866,774,13,0.016795866,774,13,0.010457517,765,8,0.017412934,804,14,0.010062893,795,8,0,0,0,4695,69,0.014696485
2022,32,"F3660289      ",15,0,261,0,0,259,0,0.007751938,258,2,0,255,0,0.0074626864,268,2,0.00754717,265,2,0,0,0,1566,6,0.0038314175
2022,32,"F3660289      ",37,0.031347964,319,10,0.032738097,336,11,0.048231512,311,15,0.04692082,341,16,0.070028014,357,25,0.037463978,347,13,0,0,0,2011,90,0.044753853
2022,32,"F3660289      ",100,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,3,2,0.6666667
2022,32,"F3660289      ",5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
2022,33,"B5582642      ",3,0.021825397,1008,22,0.046626985,1008,47,0.023391813,1026,24,0.036779325,1006,37,0.032416504,1018,33,0,0,0,0,0,0,5066,163,0.032175288
2022,33,"F3660289      ",37,0.041666668,336,14,0.08928572,336,30,0.04532578,353,16,0.07751938,258,20,0.04255319,235,10,0,0,0,0,0,0,1518,90,0.05928854
