ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
C6590301      ,3,561633,0.02
F7830399      ,1,588837,0.08
F9695698      ,2,3073022,0.09
F9695698      ,2,3073023,0.1
F7830399      ,1,588838,0.14
F9401178      ,1,653602,0.07
D8586612      ,1,2338812,0.02
F7360941      ,1,2069420,0.02
F7360949      ,1,2069760,0.01
F7812096      ,1,341970,0.08
D8584134      ,1,3127216,0.12
E9556853      ,1,4414686,0.06
D8584134      ,1,3127217,0.13
E9556853      ,1,4414687,0.07
D8584134      ,1,3127218,0.17
D8481322      ,1,2795952,0.1
D8481321      ,1,5407529,0
F9711007      ,2,3703510,0.1
F9401174      ,2,1206691,0.04
D8584134      ,1,3127219,0.05
D8481322      ,1,2795953,0.01
C9410194      ,1,2138622,0.02
F9711007      ,2,3703511,0.06
F9401174      ,2,1206692,0.1
F9711007      ,2,3703512,0.23
C8391460      ,1,1375117,0.01
F9401174      ,2,1206693,0.09
F8353464      ,1,1711123,0.05
C8391460      ,1,1375118,0.04
F7350022      ,1,58526,0.02
F7360944      ,1,706828,0.06
F7360946      ,1,656351,0.01
F7360940      ,1,7239,0
F7851954      ,1,370124,0
F7831631      ,1,370573,0.04
F9695697      ,1,4964163,0.01
D8584134      ,1,3127220,0.06
F9695697      ,1,4964164,0.07
A9400964      ,2,62683,0.02
D8584134      ,1,3127221,0.06
F7830399      ,1,588839,0.07
C8780408      ,1,267520,0.02
C6500970      ,1,1038659,0.04
D8586612      ,1,2338813,0.01
A9400964      ,2,62684,0.05
E9556853      ,1,4414688,0.09
D8584134      ,1,3127222,0.11
F7830399      ,1,588840,0.09
D8584134      ,1,3127223,0.14
E9556853      ,1,4414689,0.1
F9695698      ,2,3073024,0.01
D8481321      ,1,5407530,0.04
C9410194      ,1,2138623,0.02
F9695698      ,2,3073025,0.05
F9401174      ,2,1206694,0.01
F9401178      ,1,653603,0.03
F9711007      ,2,3703513,0.33
F9711007      ,2,3703514,0.22
C8391460      ,1,1375119,0.06
F9401174      ,2,1206695,0
F9711007      ,2,3703515,0.05
C8391460      ,1,1375120,0.03
F7360941      ,1,2069423,0.01
F7812096      ,1,341973,0.02
F9401174      ,2,1206696,0.11
F7360949      ,1,2069763,0
F8353464      ,1,1711124,0.08
D8481322      ,1,2795954,0.06
D8481322      ,1,2795955,0.03
D8584134      ,1,3127224,0.07
D8584134      ,1,3127225,0.19
F9695697      ,1,4964165,0.09
A9400964      ,2,62685,0.04
F7350022      ,1,58527,0.01
F7360944      ,1,706829,0.01
A9400964      ,2,62686,0
D8584134      ,1,3127226,0.12
D8586612      ,1,2338814,0.01
F9695697      ,1,4964166,0.1
F7831631      ,1,370574,0.03
F7360940      ,1,7240,0
F7851954      ,1,370125,0
F7360946      ,1,656352,0.01
D8584134      ,1,3127227,0.09
C6500970      ,1,1038660,0.04
C8780408      ,1,267521,0.02
F9695698      ,2,3073026,0.14
F9401174      ,2,1206697,0.1
C9410194      ,1,2138624,0.07
D8481321      ,1,5407531,0.01
F9711007      ,2,3703516,-4.43
F7830399      ,1,588841,0.05
F9695698      ,2,3073027,0.11
F9711007      ,2,3703517,0.27
C9410194      ,1,2138625,0.01
C8391460      ,1,1375121,0.04
F9401174      ,2,1206698,0.01
F7830399      ,1,588842,0.07
F9711007      ,2,3703518,0.14
F9401174      ,2,1206699,0.1
F9711007      ,2,3703519,0.25
C8391460      ,1,1375122,0.04
E9556853      ,1,4414690,0.05
F8353464      ,1,1711125,0.12
E9556853      ,1,4414691,0.06
F7360949      ,1,2069766,0.02
F7360941      ,1,2069426,0.03
F7812096      ,1,341976,0.01
D8584134      ,1,3127228,0.01
F7350022      ,1,58528,0.01
F7360944      ,1,706830,0.05
D8584134      ,1,3127229,0.12
D8584134      ,1,3127230,0.17
F7831631      ,1,370575,0.01
F7360946      ,1,656353,0.05
F7851954      ,1,370126,0
F7360940      ,1,7241,0.04
D8584134      ,1,3127231,0.11
E9556853      ,1,4414692,0.03
E9556853      ,1,4414693,0.11
F7830399      ,1,588843,0.05
C6500970      ,1,1038661,0.03
C8780408      ,1,267522,0.01
F7830399      ,1,588844,0.07
D8586612      ,1,2338815,0.02
D8481321      ,1,5407532,0.02
C9410194      ,1,2138626,0.02
F9695698      ,2,3073028,0.09
F7350022      ,1,58529,0.01
F7360944      ,1,706831,0.02
F7831631      ,1,370576,0.03
F7360946      ,1,656354,0
F7360940      ,1,7242,0.06
F9695697      ,1,4964167,0.06
F7851954      ,1,370127,0.01
F9695698      ,2,3073029,0.03
F9401178      ,1,653604,0.06
F8353464      ,1,1711126,0.07
F9695697      ,1,4964168,0.04
F9711007      ,2,3703520,0.07
F9401174      ,2,1206700,0.05
A9400964      ,2,62687,0.04
F9401174      ,2,1206701,0.14
F9711007      ,2,3703521,0.19
A9400964      ,2,62688,0.06
F9401174      ,2,1206702,0.21
F9711007      ,2,3703522,0.41
D8586612      ,1,2338816,0.01
D8481321      ,1,5407533,0.02
D8584134      ,1,3127232,0.09
C8780408      ,1,267523,0.02
D8584134      ,1,3127233,0.04
F8353464      ,1,1711127,0.05
D8584134      ,1,3127234,0.22
F7830399      ,1,588845,0.07
D8584134      ,1,3127235,0.03
F7830399      ,1,588846,0.1
F9695697      ,1,4964169,0.09
E9556853      ,1,4414694,0
D8481322      ,1,2795956,0.07
F9401178      ,1,653605,0.01
F9695697      ,1,4964170,0.01
E9556853      ,1,4414695,0.07
C9410194      ,1,2138627,0.01
D8481322      ,1,2795957,0.05
D8586612      ,1,2338817,0.04
F9401174      ,2,1206703,0.03
F7360944      ,1,706832,0.02
F7350022      ,1,58530,0.02
C6500970      ,1,1038662,0.05
F9695698      ,2,3073030,-5.68
D8481321      ,1,5407534,0.02
F9711007      ,2,3703523,0.27
F9401174      ,2,1206704,0.02
F7831631      ,1,370577,0.02
F7360946      ,1,656355,0.01
F7851954      ,1,370128,0.04
F7360940      ,1,7243,0.02
F9695698      ,2,3073031,-4.7
C6590301      ,3,561634,0.11
F9401174      ,2,1206705,0.05
F9711007      ,2,3703524,0.08
F9695698      ,2,3073032,-6.81
C6590301      ,3,561635,0.11
D8584134      ,1,3127236,0.13
F9695698      ,2,3073033,-6.99
F9711007      ,2,3703525,0.2
D8584134      ,1,3127237,0.03
F8353464      ,1,1711128,0.02
D8584134      ,1,3127238,0.1
D8584134      ,1,3127239,0.14
A9400964      ,2,62689,0.03
A9400964      ,2,62690,0.04
F9695698      ,2,3073034,0.04
F7360949      ,1,2069769,0.15
F7812096      ,1,341979,0.05
F7360941      ,1,2069429,0.02
F9401178      ,1,653606,0.01
F9695698      ,2,3073035,0.05
C8780408      ,1,267524,0.04
C8391460      ,1,1375123,0.04
C9410194      ,1,2138628,0.07
C8391460      ,1,1375124,0.03
F7830399      ,1,588847,0.06
D8584134      ,1,3127240,0.08
D8584134      ,1,3127241,0.09
F7830399      ,1,588848,0.07
E9556853      ,1,4414696,0.02
F9401174      ,2,1206706,0.03
C6500970      ,1,1038663,0.09
F9711007      ,2,3703526,0.27
D8584134      ,1,3127242,0
E9556853      ,1,4414697,0.03
F9401174      ,2,1206707,0.06
D8481322      ,1,2795958,0.05
D8584134      ,1,3127243,0.16
F9711007      ,2,3703527,0.06
F7360944      ,1,706833,0.01
F7350022      ,1,58531,0.01
F9401174      ,2,1206708,0.09
C6500970      ,1,1038664,0.11
D8481322      ,1,2795959,0.07
D8586612      ,1,2338818,0.01
F7360946      ,1,656356,0.01
F7831631      ,1,370578,0
F7851954      ,1,370129,0
F9711007      ,2,3703528,0.32
F7360940      ,1,7244,0.03
F9695697      ,1,4964171,0.05
D8481321      ,1,5407535,0.02
F9695697      ,1,4964172,0.1
A9400964      ,2,62691,0.04
F9401178      ,1,653607,0.02
A9400964      ,2,62692,0.06
F8353464      ,1,1711129,0.03
D8584134      ,1,3127244,0.03
F9695698      ,2,3073036,0.02
C8391460      ,1,1375125,0.02
C8780408      ,1,267525,0.03
F9695698      ,2,3073037,0.04
D8584134      ,1,3127245,0.18
C9410194      ,1,2138629,0.04
C8391460      ,1,1375126,0.05
D8584134      ,1,3127246,0.01
C9410194      ,1,2138630,0.06
F7830399      ,1,588849,0.04
D8584134      ,1,3127247,0.03
F9401174      ,2,1206709,0.06
F7830399      ,1,588850,0.21
F7360941      ,1,2069432,0.01
F7812096      ,1,341982,0.05
F7360949      ,1,2069772,0.05
F9711007      ,2,3703529,0.3
F9401174      ,2,1206710,0.11
E9556853      ,1,4414698,0.05
F9711007      ,2,3703530,0.2
F9401174      ,2,1206711,0.04
E9556853      ,1,4414699,0.08
F7360944      ,1,706834,0.05
F7350022      ,1,58532,0.03
F9711007      ,2,3703531,0.41
D8586612      ,1,2338819,0.02
F7851954      ,1,370130,0.01
F7360940      ,1,7245,0.03
F7360946      ,1,656357,0.02
F7831631      ,1,370579,0.02
F9695697      ,1,4964173,0.03
A9400964      ,2,62693,0.04
D8481321      ,1,5407536,0.02
A9400964      ,2,62694,0.05
D8584134      ,1,3127248,0
D8481322      ,1,2795960,0.07
F9695697      ,1,4964174,0.1
D8584134      ,1,3127249,0.1
C8391460      ,1,1375127,0.04
C6500970      ,1,1038665,0.04
D8584134      ,1,3127250,0.04
C8391460      ,1,1375128,0.05
D8481322      ,1,2795961,0.02
F9401178      ,1,653608,0.09
F8353464      ,1,1711130,0.03
F9695698      ,2,3073038,0.03
D8584134      ,1,3127251,0.16
F9695698      ,2,3073039,0.05
C8780408      ,1,267526,0.02
C9410194      ,1,2138631,0
F7830399      ,1,588851,0.07
F7830399      ,1,588852,0.08
F9401174      ,2,1206712,0.03
F9401174      ,2,1206713,0.08
F9711007      ,2,3703532,0.18
F7360949      ,1,2069775,0.04
F7812096      ,1,341985,0
F7360941      ,1,2069435,0
D8584134      ,1,3127252,0.08
E9556853      ,1,4414700,0.08
D8586612      ,1,2338820,0.02
F9711007      ,2,3703533,0.4
F9401174      ,2,1206714,0.1
D8584134      ,1,3127253,0.05
A9400964      ,2,62695,0.01
F9711007      ,2,3703534,0.25
E9556853      ,1,4414701,0.04
F9695697      ,1,4964175,0.1
D8584134      ,1,3127254,0.02
A9400964      ,2,62696,0.06
D8481321      ,1,5407537,0.01
F9695697      ,1,4964176,0.02
D8584134      ,1,3127255,0
C8391460      ,1,1375129,0.04
C6500970      ,1,1038666,0.06
C8391460      ,1,1375130,0.03
F8353464      ,1,1711131,0.05
F7350022      ,1,58533,0.01
F7360944      ,1,706835,0
F9695698      ,2,3073040,0.08
F7360946      ,1,656358,0.02
F7851954      ,1,370131,0
F7831631      ,1,370580,0.02
F7360940      ,1,7246,0
F9401178      ,1,653609,0.03
F9695698      ,2,3073041,0.05
C8780408      ,1,267527,0.02
C9410194      ,1,2138632,0.08
F7830399      ,1,588853,0.07
A9400964      ,2,62697,0.04
F7830399      ,1,588854,0.18
A9400964      ,2,62698,0.05
E9556853      ,1,4414702,0.03
F9695697      ,1,4964177,0.03
F9711007      ,2,3703535,0.09
E9556853      ,1,4414703,0.01
D8584134      ,1,3127256,0.04
C8391460      ,1,1375131,0.05
F9695697      ,1,4964178,0.03
D8584134      ,1,3127257,0.03
F9711007      ,2,3703536,0.13
C8391460      ,1,1375132,0.03
D8584134      ,1,3127258,0.01
F7360944      ,1,706836,0.02
F7350022      ,1,58534,0.02
F9711007      ,2,3703537,0.27
D8584134      ,1,3127259,0.06
F7360946      ,1,656359,0.01
F7831631      ,1,370581,0.01
F7360940      ,1,7247,0.02
F7851954      ,1,370132,0.01
F9695698      ,2,3073042,0.02
C6500970      ,1,1038667,0.04
D8586612      ,1,2338821,0.01
F9695698      ,2,3073043,0.05
C6500970      ,1,1038668,0.05
D8481322      ,1,2795962,0.09
D8481321      ,1,5407538,0
F9401174      ,2,1206715,0.16
D8481322      ,1,2795963,0.05
F8353464      ,1,1711132,0.15
F9401174      ,2,1206716,0.06
C8780408      ,1,267528,0.02
F9401174      ,2,1206717,0.01
D8584134      ,1,3127260,0.08
C8391460      ,1,1375133,0.02
D8584134      ,1,3127261,0.11
F9695697      ,1,4964179,0.03
C8391460      ,1,1375134,0.04
D8584134      ,1,3127262,0.06
F7350022      ,1,58535,0.03
F7360944      ,1,706837,0.02
A9400964      ,2,62699,0.03
F9695697      ,1,4964180,0.14
D8584134      ,1,3127263,0.12
A9400964      ,2,62700,0.01
F7360940      ,1,7248,0
F7851954      ,1,370133,0.04
F7360946      ,1,656360,0
F7830399      ,1,588855,0.05
F7831631      ,1,370582,0.01
F7830399      ,1,588856,0.1
C6500970      ,1,1038669,0.08
F7360941      ,1,2069438,0.04
F7812096      ,1,341988,0.02
F7360949      ,1,2069778,0.02
C9410194      ,1,2138633,0.04
E9556853      ,1,4414704,0.09
E9556853      ,1,4414705,0.1
D8481322      ,1,2795964,0.07
F9695698      ,2,3073044,0.01
F9711007      ,2,3703538,0.14
F9695698      ,2,3073045,0.01
D8481322      ,1,2795965,0.05
F9401174      ,2,1206718,0.1
F9711007      ,2,3703539,0.12
F9401174      ,2,1206719,0.06
D8586612      ,1,2338822,0
C8391460      ,1,1375135,0.01
F9711007      ,2,3703540,0.07
F9401174      ,2,1206720,0.07
F9401178      ,1,653610,0.11
C8391460      ,1,1375136,0.05
D8481321      ,1,5407539,0.01
C8780408      ,1,267529,0.01
F9695697      ,1,4964181,0.03
F9695697      ,1,4964182,0.1
D8584134      ,1,3127264,0.08
F7830399      ,1,588857,0.04
F8353464      ,1,1711133,0.07
D8584134      ,1,3127265,0.01
F7830399      ,1,588858,0.13
D8584134      ,1,3127266,0.06
F7812096      ,1,341991,0.04
F7360949      ,1,2069781,0.02
F7360941      ,1,2069441,0
C9410194      ,1,2138634,0.01
D8584134      ,1,3127267,0.03
E9556853      ,1,4414706,0.03
D8586612      ,1,2338823,0.01
F7350022      ,1,58536,0.03
F7360944      ,1,706838,0.04
F9711007      ,2,3703541,0.16
F9401174      ,2,1206721,0.07
E9556853      ,1,4414707,0.03
F9695698      ,2,3073046,0.12
F7360940      ,1,7249,0.03
F7831631      ,1,370583,0.01
F7360946      ,1,656361,0.03
F7851954      ,1,370134,0.02
F9711007      ,2,3703542,0.19
D8481322      ,1,2795966,0.08
F9401174      ,2,1206722,0.16
D8481321      ,1,5407540,0.01
F9695698      ,2,3073047,0.22
F9711007      ,2,3703543,0.15
F9401174      ,2,1206723,0.2
D8481322      ,1,2795967,0.07
D8584134      ,1,3127268,0.02
D8584134      ,1,3127269,0.01
F8353464      ,1,1711134,0.02
D8584134      ,1,3127270,0.01
D8584134      ,1,3127271,0.05
F9401178      ,1,653611,0.02
C9410194      ,1,2138635,0.01
F7360941      ,1,2069444,0.05
F7812096      ,1,341994,0.04
F7360949      ,1,2069784,0.03
F7350022      ,1,58537,0.03
F9711007      ,2,3703544,0.2
F7360944      ,1,706839,0.03
F9401174      ,2,1206724,0.06
F9711007      ,2,3703545,0.42
F7360946      ,1,656362,0.02
F7831631      ,1,370584,0.02
F7360940      ,1,7250,0.02
F7851954      ,1,370135,0.03
D8586612      ,1,2338824,0.03
F9401174      ,2,1206725,0.09
F9711007      ,2,3703546,0.16
F9401174      ,2,1206726,0.12
D8584134      ,1,3127272,0.16
D8481321      ,1,5407541,0.03
D8481322      ,1,2795968,0.03
D8584134      ,1,3127273,0.06
A9400964      ,2,62701,0.03
D8481322      ,1,2795969,0.01
D8584134      ,1,3127274,0.04
A9400964      ,2,62702,0.02
D8584134      ,1,3127275,0.11
F8353464      ,1,1711135,0.01
F9401178      ,1,653612,0.01
F9695697      ,1,4964183,0.03
C8780408      ,1,267530,0.01
C9410194      ,1,2138636,0.01
F9695697      ,1,4964184,0.06
C6500970      ,1,1038670,0.01
F7830399      ,1,588859,0.07
F7360944      ,1,706840,0.02
F7350022      ,1,58538,0.05
F9695698      ,2,3073048,0.08
F7360946      ,1,656363,0.01
F7851954      ,1,370136,0.01
F7360940      ,1,7251,0.01
F7831631      ,1,370585,0.01
F7830399      ,1,588860,0.07
F9695698      ,2,3073049,0.12
F7812096      ,1,341997,0.04
F7360941      ,1,2069447,0.03
F7360949      ,1,2069787,0.02
F9711007      ,2,3703547,0.16
E9556853      ,1,4414708,0.02
F9401174      ,2,1206727,0.14
D8584134      ,1,3127276,0.06
D8586612      ,1,2338825,0.01
C8391460      ,1,1375137,0.03
F9711007      ,2,3703548,0.12
F9401174      ,2,1206728,0.09
D8584134      ,1,3127277,0.02
E9556853      ,1,4414709,0.07
C8391460      ,1,1375138,0.05
F9401174      ,2,1206729,0.09
F9711007      ,2,3703549,0.07
D8584134      ,1,3127278,0.14
D8481321      ,1,5407542,0
D8584134      ,1,3127279,0.07
D8481322      ,1,2795970,0.04
F8353464      ,1,1711136,0.01
A9400964      ,2,62703,0.04
F9401178      ,1,653613,0.02
D8481322      ,1,2795971,0.06
A9400964      ,2,62704,0.03
F9695697      ,1,4964185,0.02
C8780408      ,1,267531,0.01
F9695697      ,1,4964186,0.05
C9410194      ,1,2138637,0.01
D8584134      ,1,3127280,0
D8584134      ,1,3127281,0.15
F7360944      ,1,706841,0.04
C6500970      ,1,1038671,0.05
F7350022      ,1,58539,0.02
D8584134      ,1,3127282,0.12
C8391460      ,1,1375139,0.03
F7830399      ,1,588861,0.11
F9401174      ,2,1206730,0.05
E9556853      ,1,4414710,0.01
F7360940      ,1,7252,0.02
F7360946      ,1,656364,0.02
F7831631      ,1,370586,0.03
F7851954      ,1,370137,0.05
F9711007      ,2,3703550,0.05
D8584134      ,1,3127283,0.2
C8391460      ,1,1375140,0.04
F9401174      ,2,1206731,0.17
D8586612      ,1,2338826,0.02
F9695698      ,2,3073050,0.09
E9556853      ,1,4414711,0.15
F7830399      ,1,588862,0.16
F9711007      ,2,3703551,0.02
F9401174      ,2,1206732,0.02
F9695698      ,2,3073051,0.02
F9711007      ,2,3703552,0.43
F7812096      ,1,342000,0.07
F7360949      ,1,2069790,0.02
F7360941      ,1,2069450,0.02
D8481321      ,1,5407543,0.01
A9400964      ,2,62705,0.02
D8481322      ,1,2795972,0.06
A9400964      ,2,62706,0.06
D8584134      ,1,3127284,0.13
F8353464      ,1,1711137,0.03
D8481322      ,1,2795973,0.05
D8584134      ,1,3127285,0
D8584134      ,1,3127286,0.04
F9401178      ,1,653614,0.04
D8584134      ,1,3127287,0.1
C9410194      ,1,2138638,0.05
C8391460      ,1,1375141,0.05
E9556853      ,1,4414712,0.03
C8391460      ,1,1375142,0.04
C8780408      ,1,267532,0.02
E9556853      ,1,4414713,0.08
C6500970      ,1,1038672,0.04
C8391460      ,1,1375143,0.02
F7830399      ,1,588863,0.07
F9711007      ,2,3703553,0.13
F7360944      ,1,706842,0.02
F7350022      ,1,58540,0.05
F9401174      ,2,1206733,0.07
F9695697      ,1,4964187,0.1
D8584134      ,1,3127288,0.08
F7830399      ,1,588864,0.21
F7360941      ,1,2069453,0.02
F7360949      ,1,2069793,0.06
F7851954      ,1,370138,0.05
F7812096      ,1,342003,0
F7360940      ,1,7253,0
F7831631      ,1,370587,0.01
F9711007      ,2,3703554,0.21
F7360946      ,1,656365,0.01
F9401174      ,2,1206734,0.02
F9695698      ,2,3073052,0.11
D8584134      ,1,3127289,0.05
F9695697      ,1,4964188,0.09
F9401174      ,2,1206735,0.02
A9400964      ,2,62707,0.07
F9711007      ,2,3703555,0.12
F9695698      ,2,3073053,0.15
D8586612      ,1,2338827,0.04
D8584134      ,1,3127290,0.12
A9400964      ,2,62708,0.06
D8481322      ,1,2795974,0.08
D8584134      ,1,3127291,0.06
D8481321      ,1,5407544,0.02
D8481322      ,1,2795975,0.05
F9401178      ,1,653615,0.01
C8391460      ,1,1375144,0.03
F8353464      ,1,1711138,0.03
C8391460      ,1,1375145,0.05
F7350022      ,1,58541,0.03
F7360944      ,1,706843,0.02
C9410194      ,1,2138639,0.02
E9556853      ,1,4414714,0.02
F7360946      ,1,656366,0.01
F7831631      ,1,370588,0.03
F7360940      ,1,7254,0
F7851954      ,1,370139,0.01
C9410194      ,1,2138640,0.02
E9556853      ,1,4414715,0.1
A9400964      ,2,62709,0.04
F9695697      ,1,4964189,0.04
F9711007      ,2,3703556,0.11
A9400964      ,2,62710,0.04
C8780408      ,1,267533,0.03
F9401174      ,2,1206736,0.11
F9695697      ,1,4964190,0.07
F9711007      ,2,3703557,0.25
F7812096      ,1,342006,0.01
F7360949      ,1,2069796,0.04
F7360941      ,1,2069456,0.01
F9401174      ,2,1206737,0.04
F9711007      ,2,3703558,0.1
F9401174      ,2,1206738,0.03
F7830399      ,1,588865,0.11
D8481322      ,1,2795976,0.05
F7830399      ,1,588866,0.27
F9695698      ,2,3073054,0.04
D8481322      ,1,2795977,0.01
D8586612      ,1,2338828,0.01
C6590301      ,3,561636,0.01
F9695698      ,2,3073055,0.07
C6590301      ,3,561637,0.02
D8481321      ,1,5407545,0.03
C8391460      ,1,1375146,0.04
C8391460      ,1,1375147,0.05
F9401178      ,1,653616,0
F8353464      ,1,1711139,0.01
C9410194      ,1,2138641,0.06
E9556853      ,1,4414716,0.04
E9556853      ,1,4414717,0.05
A9400964      ,2,62711,0.03
F9711007      ,2,3703559,0.08
F9401174      ,2,1206739,0.05
A9400964      ,2,62712,0.02
F7812096      ,1,342009,0.03
F7360949      ,1,2069799,0.01
F7360941      ,1,2069459,0.03
F9711007      ,2,3703560,0.26
F9401174      ,2,1206740,0.09
F9695697      ,1,4964191,0.06
F9401174      ,2,1206741,0.05
C8780408      ,1,267534,0.02
F9711007      ,2,3703561,0.27
F9695697      ,1,4964192,0.1
C6500970      ,1,1038673,0.02
D8481322      ,1,2795978,0.1
F7830399      ,1,588867,0.04
C8391460      ,1,1375148,0.02
D8481322      ,1,2795979,0.03
F7350022      ,1,58542,0
C8391460      ,1,1375149,0.03
F7830399      ,1,588868,0.16
D8586612      ,1,2338829,0.01
F7360944      ,1,706844,0.05
F9401178      ,1,653617,0.04
F9695698      ,2,3073056,0
F7360946      ,1,656367,0.01
F7360940      ,1,7255,0.03
F7851954      ,1,370140,0
F7831631      ,1,370589,0.04
D8481321      ,1,5407546,0.02
C9410194      ,1,2138642,0.01
F9695698      ,2,3073057,0.02
D8584134      ,1,3127292,0.09
E9556853      ,1,4414718,0
D8584134      ,1,3127293,0.05
E9556853      ,1,4414719,0.06
D8584134      ,1,3127294,0.09
F8353464      ,1,1711140,-0.49
F9401174      ,2,1206742,0.04
D8584134      ,1,3127295,0.16
F8353464      ,1,1711141,0.01
F9711007      ,2,3703562,0.1
F9401174      ,2,1206743,0.06
F9711007      ,2,3703563,0.22
A9400964      ,2,62713,0.03
F9401174      ,2,1206744,0.03
F7360949      ,1,2069802,0.03
F7812096      ,1,342012,0.1
F7360941      ,1,2069462,0.03
A9400964      ,2,62714,0.04
F9711007      ,2,3703564,0.33
C8391460      ,1,1375150,0.06
F7350022      ,1,58543,0.04
F7360944      ,1,706845,0.05
C8391460      ,1,1375151,0.04
F7831631      ,1,370590,0
F7851954      ,1,370141,0.01
F7360946      ,1,656368,0.01
F7360940      ,1,7256,0.06
F9695697      ,1,4964193,0.06
C8780408      ,1,267535,0.02
D8584134      ,1,3127296,0.09
C6500970      ,1,1038674,0.01
F9695697      ,1,4964194,0.05
D8481322      ,1,2795980,0.18
D8584134      ,1,3127297,0.14
F7830399      ,1,588869,0.05
D8481322      ,1,2795981,0.03
F9401178      ,1,653618,0.07
D8584134      ,1,3127298,0.1
F7830399      ,1,588870,0.19
C9410194      ,1,2138643,0.07
D8584134      ,1,3127299,0.14
F9695698      ,2,3073058,0.1
D8586612      ,1,2338830,0
E9556853      ,1,4414720,0.01
F9695698      ,2,3073059,0.03
D8481321      ,1,5407547,0.01
E9556853      ,1,4414721,0.14
A9400964      ,2,62715,0.04
F9401174      ,2,1206745,0.05
A9400964      ,2,62716,0.07
F7360944      ,1,706846,0.03
F7350022      ,1,58544,0
C8391460      ,1,1375152,0.05
F9711007      ,2,3703565,0.13
F9401174      ,2,1206746,0.06
F7360940      ,1,7257,0.02
F7360946      ,1,656369,0
F7851954      ,1,370142,0.06
F7831631      ,1,370591,0
C8391460      ,1,1375153,0.01
F8353464      ,1,1711142,0.03
F9711007      ,2,3703566,0.37
F9401174      ,2,1206747,0.13
F9711007      ,2,3703567,0.08
D8584134      ,1,3127300,0.22
F7360941      ,1,2069465,0.01
F7360949      ,1,2069805,0.02
F7812096      ,1,342015,0.02
D8584134      ,1,3127301,0.1
D8584134      ,1,3127302,0.05
D8584134      ,1,3127303,0.01
F9695697      ,1,4964195,0.08
D8481322      ,1,2795982,0.05
F9695697      ,1,4964196,0.08
C8780408      ,1,267536,0.04
D8481322      ,1,2795983,0.13
C9410194      ,1,2138644,0.01
C6500970      ,1,1038675,0.04
E9556853      ,1,4414722,0.08
F9401178      ,1,653619,0.05
F7830399      ,1,588871,0.05
F7360944      ,1,706847,0.02
F7350022      ,1,58545,0.02
E9556853      ,1,4414723,0.09
F7851954      ,1,370143,0
F7831631      ,1,370592,0.02
F7360940      ,1,7258,0.04
F7360946      ,1,656370,0.01
F9711007      ,2,3703568,0.19
F7830399      ,1,588872,0.14
D8584134      ,1,3127304,0.11
F9401174      ,2,1206748,0.01
F9711007      ,2,3703569,0.31
A9400964      ,2,62717,0.08
D8584134      ,1,3127305,0.11
F9401174      ,2,1206749,0.1
A9400964      ,2,62718,0.02
D8584134      ,1,3127306,0.08
F9401174      ,2,1206750,0.15
F9711007      ,2,3703570,0.1
D8584134      ,1,3127307,0.18
F7360941      ,1,2069468,0.03
F7360949      ,1,2069808,0.01
F7812096      ,1,342018,0.04
D8586612      ,1,2338831,0.03
F9695698      ,2,3073060,0.02
F9695698      ,2,3073061,0.1
D8481321      ,1,5407548,0.02
C9410194      ,1,2138645,0.02
C8391460      ,1,1375154,0.03
C8391460      ,1,1375155,0.05
F9695697      ,1,4964197,0.04
E9556853      ,1,4414724,0.1
C8780408      ,1,267537,0.04
F9711007      ,2,3703571,0.04
F9401174      ,2,1206751,0.02
F9401178      ,1,653620,0.02
F8353464      ,1,1711143,0.02
F9695697      ,1,4964198,0.03
F9711007      ,2,3703572,0.37
F9401174      ,2,1206752,0
E9556853      ,1,4414725,0.09
F7350022      ,1,58546,0.04
F7360944      ,1,706848,0.06
D8584134      ,1,3127308,0.16
F9401174      ,2,1206753,0.05
F9711007      ,2,3703573,0.04
C6500970      ,1,1038676,0.03
F7360940      ,1,7259,0
F7360946      ,1,656371,0.01
F7831631      ,1,370593,0.01
D8584134      ,1,3127309,0.06
F7851954      ,1,370144,-7.93
D8584134      ,1,3127310,0.09
F7830399      ,1,588873,0.04
D8584134      ,1,3127311,0.07
F7851954      ,1,370145,-7.79
F7830399      ,1,588874,0.06
A9400964      ,2,62719,0.05
C6590301      ,3,561638,0.04
A9400964      ,2,62720,0.03
F7851954      ,1,370146,0.01
F9695698      ,2,3073062,0.03
C6590301      ,3,561639,0.02
D8586612      ,1,2338832,0.02
F9695698      ,2,3073063,0.09
C9410194      ,1,2138646,0.03
C8391460      ,1,1375156,0.04
D8481321      ,1,5407549,0.02
C8391460      ,1,1375157,0.04
D8481322      ,1,2795984,0.06
F9711007      ,2,3703574,0.16
D8584134      ,1,3127312,0.17
F9401174      ,2,1206754,0.3
D8481322      ,1,2795985,0.05
F9711007      ,2,3703575,0.01
D8584134      ,1,3127313,0.01
F9401174      ,2,1206755,0.05
F8353464      ,1,1711144,0.03
F9711007      ,2,3703576,0.06
F9401174      ,2,1206756,0.07
D8584134      ,1,3127314,0.17
E9556853      ,1,4414726,0.08
D8584134      ,1,3127315,0.14
E9556853      ,1,4414727,0.05
F7360944      ,1,706849,0.01
F7350022      ,1,58547,0.02
F7360940      ,1,7260,0.01
F7831631      ,1,370594,0.03
F7851954      ,1,370147,0.01
F7360946      ,1,656372,0.01
C9410194      ,1,2138647,0.04
A9400964      ,2,62721,0.04
