ToolSerialNumber,ParameterSetId,DateOfScrewings,DailyAverageTorqueDelta,DailyAverageAngleDelta
"F3660289      ",14,2022-02-16,-0.0133390119250425894378194208,-4874.7325383304940374787052811
"F3660289      ",15,2022-02-16,0.026596858638743455497382199,-4970.1963350785340314136125654
"B5582642      ",3,2022-02-17,0.2439882888744307091737150293,-7.3279115159401431359791802212
"F3660289      ",37,2022-02-17,-0.4383739837398373983739837398,-19.663414634146341463414634146
"F3660289      ",14,2022-02-17,-0.012917030567685589519650655,-4873.9056768558951965065502183
"F3660289      ",15,2022-02-17,-0.0507272727272727272727272727,-4965.4025974025974025974025974
"B5582642      ",3,2022-02-18,0.3176071657069737683941138836,-7.0914907229686500319897632758
"F3660289      ",37,2022-02-18,-0.3370333333333333333333333333,-39.54
"F3660289      ",14,2022-02-18,0.0108994708994708994708994709,-4871.1657848324514991181657848
"F3660289      ",15,2022-02-18,-0.0055091383812010443864229765,-4968.8746736292428198433420366
"F3660289      ",14,2022-02-19,-0.026402985074626865671641791,-4870.5552238805970149253731343
"F3660289      ",15,2022-02-19,0.0304147465437788018433179724,-4970.115207373271889400921659
"B5582642      ",3,2022-02-19,0.1120972972972972972972972973,-7.8464864864864864864864864865
"F3660289      ",37,2022-02-19,-0.3547678018575851393188854489,-41.950464396284829721362229102
"F3660289      ",14,2022-02-21,0.0174504737295434969853574505,-4875.4134366925064599483204134
"F3660289      ",15,2022-02-21,0.0235064935064935064935064935,-4969.8987012987012987012987013
"B5582642      ",3,2022-02-21,0.0869704433497536945812807882,-7.2543103448275862068965517241
"F3660289      ",37,2022-02-21,-0.3166056572379367720465890183,-33.718801996672212978369384359
"B5582642      ",3,2022-02-20,-0.0747297297297297297297297297,-8.493243243243243243243243243
"F3660289      ",14,2022-02-20,0.0013461538461538461538461538,-4860.8557692307692307692307692
"B5582642      ",3,2022-02-22,0.3299491417673235855054036872,-7.6764144945963127781309599491
"F3660289      ",14,2022-02-22,0.0079982593559617058311575283,-4849.9364664926022628372497824
"F3660289      ",15,2022-02-22,-0.002931937172774869109947644,-4970.3821989528795811518324607
"F3660289      ",37,2022-02-22,-0.2567594108019639934533551555,-36.121112929623567921440261866
"B5582642      ",3,2022-02-23,0.4461025641025641025641025641,-7.7288461538461538461538461538
"F3660289      ",37,2022-02-23,-0.3982286634460547504025764895,-38.600644122383252818035426731
"F3660289      ",14,2022-02-23,0.0030407801418439716312056738,-4869.9317375886524822695035461
"F3660289      ",15,2022-02-23,0.0183914209115281501340482574,-4969.9597855227882037533512064
"B5582642      ",3,2022-02-24,0.0178159580663948747815958066,-8.402446126965637740244612697
"F3660289      ",37,2022-02-24,-0.3908012820512820512820512821,-33.203525641025641025641025641
"F3660289      ",14,2022-02-24,0.0153754266211604095563139932,-4889.0554607508532423208191126
"F3660289      ",15,2022-02-24,-0.0108564231738035264483627204,-4970.6246851385390428211586902
"B5582642      ",3,2022-02-25,0.4267278287461773700305810398,-7.1761467889908256880733944954
"F3660289      ",14,2022-02-25,0.0303166666666666666666666667,-4899.6391666666666666666666667
"F3660289      ",15,2022-02-25,0.0363567839195979899497487437,-4970.4070351758793969849246231
"F3660289      ",37,2022-02-25,-0.144125,-59.267857142857142857142857143
"B5582642      ",3,2022-02-26,0.3098745519713261648745519713,-7.7894265232974910394265232975
"F3660289      ",37,2022-02-26,-0.3053075170842824601366742597,-67.799544419134396355353075171
"F3660289      ",14,2022-02-26,0.0235776397515527950310559006,-4868.8981366459627329192546584
"F3660289      ",15,2022-02-26,0.03363295880149812734082397,-4974.1273408239700374531835206
"F3660289      ",14,2022-02-28,0.023664921465968586387434555,-4882.4982547993019197207678883
"F3660289      ",15,2022-02-28,0.0231052631578947368421052632,-4971.9368421052631578947368421
"B5582642      ",3,2022-02-28,0.2609461966604823747680890538,-8.039579468150896722325293754
"F3660289      ",37,2022-02-28,-0.4202393162393162393162393162,-25.723076923076923076923076923
"B5582642      ",3,2022-02-27,-0.0217808219178082191780821918,-8.342465753424657534246575342
"F3660289      ",37,2022-03-01,-0.1805783582089552238805970149,-45.660447761194029850746268657
"B5582642      ",3,2022-03-01,0.3765808823529411764705882353,-7.9178921568627450980392156863
"F3660289      ",14,2022-03-01,0.0283945345858240819812126388,-4866.6379163108454312553373185
"F3660289      ",15,2022-03-01,0.0260154241645244215938303342,-4969.6015424164524421593830334
"F3660289      ",14,2022-03-02,0.0333746898263027295285359801,-4870.7857733664185277088502895
"F3660289      ",15,2022-03-02,0.0226108374384236453201970443,-4964.8842364532019704433497537
"F3660289      ",37,2022-03-02,-0.320647619047619047619047619,-42.327619047619047619047619048
"B5582642      ",3,2022-03-02,0.4621177184466019417475728155,-7.5012135922330097087378640777
"F3660289      ",37,2022-03-03,-0.1453170731707317073170731707,-65.1
"B5582642      ",3,2022-03-03,0.0488449848024316109422492401,-8.117325227963525835866261398
"F3660289      ",14,2022-03-03,0.0324247787610619469026548673,-4841.6522123893805309734513274
"F3660289      ",15,2022-03-03,-0.0275128205128205128205128205,-4962.0076923076923076923076923
"F3660289      ",37,2022-03-04,-0.1765073529411764705882352941,-62.674632352941176470588235294
"B5582642      ",3,2022-03-04,0.4677608297742525930445393533,-7.6784624771201952410006101281
"F3660289      ",14,2022-03-04,-0.0200812347684809098294069862,-4828.4329813160032493907392364
"F3660289      ",15,2022-03-04,0.0191154791154791154791154791,-4965.4250614250614250614250614
"B5582642      ",3,2022-03-05,0.6313351498637602179836512262,-7.283378746594005449591280654
"F3660289      ",14,2022-03-05,0.0295238095238095238095238095,-4813.8791208791208791208791209
"F3660289      ",37,2022-03-05,-0.1623931623931623931623931624,-73.478632478632478632478632479
"B5582642      ",3,2022-03-06,-1.1141436464088397790055248619,-11.370165745856353591160220994
"B5582642      ",3,2022-03-07,0.6054056695992179863147605083,-7.9090909090909090909090909091
"F3660289      ",14,2022-03-06,0.0381481481481481481481481481,-4845.7222222222222222222222222
"F3660289      ",37,2022-03-07,-0.5139423076923076923076923077,-4.733974358974358974358974359
"F3660289      ",14,2022-03-07,-0.0363968668407310704960835509,-4838.372062663185378590078329
"F3660289      ",15,2022-03-07,0.0042629482071713147410358566,-4966.7330677290836653386454183
"B5582642      ",3,2022-03-08,0.5770411985018726591760299625,-7.5418227215980024968789013733
"F3660289      ",14,2022-03-08,-0.0218734177215189873417721519,-4829.8869198312236286919831224
"F3660289      ",15,2022-03-08,0.0210824742268041237113402062,-4962.2835051546391752577319588
"F3660289      ",37,2022-03-08,-0.2329539295392953929539295393,-64.338753387533875338753387534
"B5582642      ",3,2022-03-09,0.5161878109452736318407960199,-7.7431592039800995024875621891
"F3660289      ",37,2022-03-09,-0.1033041575492341356673960613,-19.702407002188183807439824945
"F3660289      ",14,2022-03-09,0.0255968858131487889273356401,-4816.8468858131487889273356401
"F3660289      ",15,2022-03-09,-0.0092802056555269922879177378,-4962.9845758354755784061696658
"F3660289      ",37,2022-03-10,-0.28,-53.416475972540045766590389016
"F3660289      ",14,2022-03-10,-0.0020924149956408020924149956,-4835.6634699215344376634699215
"F3660289      ",15,2022-03-10,0.0231578947368421052631578947,-4967.7473684210526315789473684
"B5582642      ",3,2022-03-10,0.3954701397712833545108005083,-7.5940279542566709021601016518
"B5582642      ",3,2022-03-11,0.225685800604229607250755287,-7.8561933534743202416918429003
"F3660289      ",37,2022-03-11,-0.2295306122448979591836734694,-43.234693877551020408163265306
"F3660289      ",14,2022-03-11,-0.0114101461736887360275150473,-4832.2665520206362854686156492
"F3660289      ",15,2022-03-11,-0.0128756476683937823834196891,-4968.9170984455958549222797927
"F3660289      ",37,2022-03-12,-0.4792380952380952380952380952,-55.428571428571428571428571429
"F3660289      ",14,2022-03-12,0.0358188153310104529616724739,-4836.282229965156794425087108
"B5582642      ",3,2022-03-12,0.1799271844660194174757281553,-8.247572815533980582524271845
"F3660289      ",37,2022-03-16,-0.3328837209302325581395348837,-41.381395348837209302325581395
"F3660289      ",14,2022-03-16,-0.0066818181818181818181818182,-4813.3045454545454545454545455
"F3660289      ",15,2022-03-16,0.0111034482758620689655172414,-4958.5379310344827586206896552
"B5582642      ",3,2022-03-16,0.1017109634551495016611295681,-8.174418604651162790697674419
"F3660289      ",14,2022-03-17,-0.0104214559386973180076628352,-4822.0076628352490421455938697
"B5582642      ",3,2022-03-17,-0.3114921465968586387434554974,-8.764397905759162303664921466
"F3660289      ",37,2022-03-17,-0.2728205128205128205128205128,-41.863247863247863247863247863
"F3660289      ",14,2022-03-18,-0.0126666666666666666666666667,-4799.1333333333333333333333333
"F3660289      ",15,2022-03-18,-0.0266272189349112426035502959,-4970.8816568047337278106508876
"B5582642      ",3,2022-03-18,-0.4384472049689440993788819876,-9.40993788819875776397515528
"F3660289      ",37,2022-03-18,-0.1653418803418803418803418803,-53.88034188034188034188034188
"B5582642      ",3,2022-03-19,0.18375,-8.1359375
"F3660289      ",37,2022-03-19,-0.2028571428571428571428571429,-26.095238095238095238095238095
"F3660289      ",14,2022-03-19,-0.019161147902869757174392936,-4819.5055187637969094922737307
"F3660289      ",15,2022-03-19,-0.0120945945945945945945945946,-4963.6756756756756756756756757
"F3660289      ",37,2022-03-21,-0.1767479674796747967479674797,-48.447154471544715447154471545
"F3660289      ",14,2022-03-21,-0.1197363465160075329566854991,-4791.7532956685499058380414313
"F3660289      ",15,2022-03-21,-0.0120238095238095238095238095,-4961.8214285714285714285714286
"B5582642      ",3,2022-03-21,-0.0723513139695712309820193638,-8.426002766251728907330567082
"B5582642      ",3,2022-03-22,-0.1330853994490358126721763085,-8.880165289256198347107438017
"F3660289      ",37,2022-03-22,-0.309507389162561576354679803,-36.270935960591133004926108374
"F3660289      ",14,2022-03-22,-0.0306563706563706563706563707,-4802.511583011583011583011583
"F3660289      ",15,2022-03-22,-0.0152046783625730994152046784,-4964.0175438596491228070175439
"B5582642      ",3,2022-03-23,0.3248907563025210084033613445,-8.127731092436974789915966387
"F3660289      ",14,2022-03-23,-0.0242070484581497797356828194,-4784.3149779735682819383259912
"F3660289      ",15,2022-03-23,0.0159183673469387755102040816,-4959.9251700680272108843537415
"F3660289      ",37,2022-03-23,-0.4335567010309278350515463918,-68.72680412371134020618556701
"F3660289      ",37,2022-03-24,-0.090230414746543778801843318,-45.672811059907834101382488479
"F3660289      ",14,2022-03-24,-0.0232755632582322357019064125,-4805.731369150779896013864818
"F3660289      ",15,2022-03-24,-0.0115183246073298429319371728,-4958.2356020942408376963350785
"B5582642      ",3,2022-03-24,0.5218034993270524899057873486,-7.5746971736204576043068640646
"B5582642      ",3,2022-03-25,-0.5472741679873217115689381933,-9.922345483359746434231378764
"F3660289      ",37,2022-03-25,-0.1526907630522088353413654618,-91.68273092369477911646586345
"F3660289      ",14,2022-03-25,0.0239879759519038076152304609,-4812.7474949899799599198396794
"F3660289      ",15,2022-03-25,0.0309756097560975609756097561,-4968.5609756097560975609756098
"F3660289      ",14,2022-03-26,-0.0452919708029197080291970803,-4819.5565693430656934306569343
"F3660289      ",15,2022-03-26,-0.0085082872928176795580110497,-4959.6519337016574585635359116
"F3660289      ",37,2022-03-26,-0.485080385852090032154340836,-82.05466237942122186495176849
"F3660289      ",37,2022-03-28,-0.2291338582677165354330708661,-43.165354330708661417322834646
"F3660289      ",14,2022-03-28,-0.0012260536398467432950191571,-4812.2241379310344827586206897
"F3660289      ",15,2022-03-28,0.0210465116279069767441860465,-4961.7616279069767441860465116
"F3660289      ",14,2022-03-29,-0.027785467128027681660899654,-4812.4723183391003460207612457
"F3660289      ",15,2022-03-29,0.0377540106951871657754010695,-4962.4973262032085561497326203
"F3660289      ",37,2022-03-29,-0.2472200772200772200772200772,-90.07335907335907335907335907
"F3660289      ",37,2022-03-30,-0.0740086206896551724137931034,-58.849137931034482758620689655
"F3660289      ",15,2022-03-30,0.0249450549450549450549450549,-4953.1538461538461538461538462
"F3660289      ",14,2022-03-30,0.0106181818181818181818181818,-4820.9181818181818181818181818
"F3660289      ",14,2022-03-31,-0.0299177631578947368421052632,-4814.5657894736842105263157895
"F3660289      ",15,2022-03-31,-0.0223529411764705882352941176,-4959.9313725490196078431372549
"F3660289      ",37,2022-03-31,-0.2515430267062314540059347181,-38.047477744807121661721068249
"F3660289      ",37,2022-04-01,-0.5852707581227436823104693141,-81.93501805054151624548736462
"F3660289      ",14,2022-04-01,0.0011619718309859154929577465,-4811.0334507042253521126760563
"F3660289      ",15,2022-04-01,0.0283957219251336898395721925,-4965.491978609625668449197861
"F3660289      ",37,2022-04-04,-0.2017924528301886792452830189,-61.289308176100628930817610063
"F3660289      ",14,2022-04-04,-0.0276687116564417177914110429,-4863.2285276073619631901840491
"F3660289      ",15,2022-04-04,0.0141395348837209302325581395,-4966.8976744186046511627906977
"F3660289      ",37,2022-04-05,-0.1440192926045016077170418006,-54.987138263665594855305466238
"F3660289      ",14,2022-04-05,-0.0124888888888888888888888889,-4831.7185185185185185185185185
"F3660289      ",15,2022-04-05,-0.0119730941704035874439461883,-4967.5829596412556053811659193
"F3660289      ",37,2022-04-06,-0.4914440433212996389891696751,-38.415162454873646209386281588
"F3660289      ",14,2022-04-06,-0.0093261868300153139356814701,-4838.1990811638591117917304747
"F3660289      ",15,2022-04-06,0.0083255813953488372093023256,-4961.3348837209302325581395349
"F3660289      ",37,2022-04-07,-0.2386046511627906976744186047,-34.457364341085271317829457364
"F3660289      ",14,2022-04-07,-0.0157580398162327718223583461,-4812.5712098009188361408882083
"F3660289      ",15,2022-04-07,0.025813953488372093023255814,-4963.6
"B5582642      ",3,2022-04-07,0.05241054613935969868173258,-8.386064030131826741996233522
"F3660289      ",37,2022-04-08,-0.1528787878787878787878787879,-58.448484848484848484848484848
"B5582642      ",3,2022-04-08,0.2484110169491525423728813559,-8.125
"F3660289      ",14,2022-04-08,0.0323760932944606413994169096,-4843.4446064139941690962099125
"F3660289      ",15,2022-04-08,0.0148484848484848484848484848,-4970.9350649350649350649350649
