ToolSerialNumber,ParameterSetId,DateOfScrewings,NumberOfOkScrewings,NumberOfNokScrewings
"F3660289      ",14,2022-07-11,1155,38
"F3660289      ",15,2022-07-11,385,8
"F3660289      ",37,2022-07-11,417,67
"B5582642      ",3,2022-07-12,1550,99
"F3660289      ",14,2022-07-12,1149,37
"F3660289      ",15,2022-07-12,382,4
"F3660289      ",100,2022-07-11,1,1
"F3660289      ",37,2022-07-12,485,43
"F3660289      ",5,2022-07-12,30,0
"F3660289      ",15,2022-07-13,356,10
"B5582642      ",3,2022-07-13,1397,70
"F3660289      ",37,2022-07-13,434,31
"F3660289      ",14,2022-07-13,1068,41
"F3660289      ",100,2022-07-13,2,0
"B5582642      ",3,2022-07-14,1036,46
"F3660289      ",37,2022-07-14,340,32
"F3660289      ",14,2022-07-14,813,26
"F3660289      ",15,2022-07-14,271,0
"F3660289      ",100,2022-07-14,1,1
"B5582642      ",3,2022-07-15,1014,58
"F3660289      ",14,2022-07-15,759,15
"F3660289      ",15,2022-07-15,253,1
"F3660289      ",37,2022-07-15,296,17
"F3660289      ",15,2022-07-16,125,4
"B5582642      ",3,2022-07-16,485,36
"F3660289      ",37,2022-07-16,157,15
"F3660289      ",14,2022-07-16,375,3
"F3660289      ",14,2022-07-18,798,21
"B5582642      ",3,2022-07-18,987,38
"F3660289      ",15,2022-07-18,266,8
"F3660289      ",37,2022-07-18,352,10
"F3660289      ",100,2022-07-16,0,1
"F3660289      ",14,2022-07-19,720,21
"B5582642      ",3,2022-07-19,978,42
"F3660289      ",15,2022-07-19,240,4
"F3660289      ",37,2022-07-19,312,34
"F3660289      ",100,2022-07-19,1,0
"F3660289      ",37,2022-07-20,346,35
"B5582642      ",3,2022-07-20,1068,41
"F3660289      ",14,2022-07-20,810,21
"F3660289      ",15,2022-07-20,270,7
"B5582642      ",3,2022-07-21,1038,85
"F3660289      ",37,2022-07-21,339,31
"F3660289      ",14,2022-07-21,774,17
"F3660289      ",15,2022-07-21,258,8
"F3660289      ",100,2022-07-20,1,0
"F3660289      ",15,2022-07-22,261,3
"B5582642      ",3,2022-07-22,1033,73
"F3660289      ",37,2022-07-22,336,38
"F3660289      ",14,2022-07-22,783,24
"F3660289      ",100,2022-07-21,1,0
"B5582642      ",3,2022-07-23,1064,38
"F3660289      ",37,2022-07-23,395,13
"F3660289      ",14,2022-07-23,795,28
"F3660289      ",15,2022-07-23,265,3
"F3660289      ",100,2022-07-22,1,0
"B5582642      ",3,2022-07-25,1034,24
"F3660289      ",14,2022-07-25,777,23
"F3660289      ",15,2022-07-25,259,4
"F3660289      ",37,2022-07-25,323,23
"F3660289      ",100,2022-07-23,1,1
"B5582642      ",3,2022-07-26,1012,61
"F3660289      ",37,2022-07-26,310,22
"F3660289      ",14,2022-07-26,738,28
"F3660289      ",15,2022-07-26,245,0
"F3660289      ",100,2022-07-25,1,0
